Universidade,Mesorregião,Município,Latitude,Longitude
UNIP,Araraquara,Araraquara,-21.78264953110955,-48.19732400931659
UNIP,Araçatuba,Araçatuba,-21.223367268831346,-50.42535762267575
UNIP,Macro Metropolitana Paulista,Jundiaí,-23.166154890146924,-46.92014650933119
UNIP,Ribeirão Preto,Ribeirão Preto,-21.2173462519001,-47.81831091878357
UNIP,Sorocaba,Sorocaba,-23.45928660494686,-47.420211949040905
UNIP,Vale do Paraíba Paulista,São José dos Campos,-23.255203566235657,-45.9485871194467
ITE,Bauru,Bauru,-22.324637151097747,-49.09421150490356
ITE,Bauru,Botucatu,-22.9268652166656,-48.467162462553546
Faculdade Galileu,Bauru,Botucatu,-22.912625545204104,-48.46050356487245
UNIBR,Bauru,Botucatu,-22.872181308735172,-48.44089269139078
UNISAGRADO,Bauru,Bauru,-22.330376774241532,-49.05207010485603
Anhanguera,Campinas,Campinas,-22.860909259010032,-47.045000314842994
Anhanguera,Ribeirão Preto,Franca,-20.50642434192047,-47.40210630633869
Anhanguera,Metropolitana de São Paulo,Guarulhos,-23.46645840187392,-46.51837258860426
Anhanguera,Campinas,Indaiatuba,-23.08296479893454,-47.19662221510417
Anhanguera,Metropolitana de São Paulo,Itapecerica da Serra,-23.703169500185137,-46.850817024192644
Anhanguera,Itapetininga,Itapetininga,-23.577966819957624,-48.03925722596375
Anhanguera,Itapetininga,Itapeva,-23.99394324292095,-48.87774204952428
Anhanguera,Vale do Paraíba Paulista,Jacareí,-23.29484686521511,-45.958144997686375
Anhanguera,Bauru,Jaú,-22.28556095459549,-48.55634833173392
Anhanguera,Piracicaba,Leme,-22.173445224121224,-47.38955513954888
Anhanguera,Metropolitana de São Paulo,Osasco,-23.5425005875459,-46.76678628814554
Anhanguera,Vale do Paraíba Paulista,Pindamonhangaba,-22.955050904312117,-45.46278393553026
Anhanguera,Piracicaba,Piracicaba,-22.74521549605415,-47.62965537888694
Anhanguera,Campinas,Pirassununga,-22.018801640642078,-47.41953176079738
Anhanguera,Ribeirão Preto,Ribeirão Preto,-21.15417710001381,-47.8112372306965
Anhanguera,Campinas,Santa Bárbara DOeste,-22.76543161977849,-47.38740299858428
Anhanguera,Metropolitana de São Paulo,Santo André,-23.668125406796833,-46.527030481333064
Anhanguera,Vale do Paraíba Paulista,São José Dos Campos,-23.259690620918455,-45.90990677586567
Anhanguera,Ribeirão Preto,Sertãozinho,-21.14501611636405,-47.987176373373615
Anhanguera,Campinas,Sumaré,-22.816750977737478,-47.26704057866503
Anhanguera,Metropolitana de São Paulo,Taboão Da Serra,-23.60900120637926,-46.754911460971904
Anhanguera,Campinas,Valinhos,-22.96402490172587,-47.00154192284825
Anhanguera,Macro Metropolitana Paulista,Jundiaí,-23.176792539763486,-46.91345085203996
Estácio,Assis,Ourinhos,-22.97667163441472,-49.896516713883486
Estácio,Metropolitana de São Paulo,Carapicuíba,-23.51905724218434,-46.83270459820886
