Universidade,Mesorregião,Município,Curso,Categoria
USP,Araraquara,São Carlos,Ciência de Dados,Exatas
PUC-SP,Metropolitana de São Paulo,São Paulo,Ciência de Dados e Inteligência Artificial,Exatas
PUC-SP,Campinas,Campinas,Ciência de Dados e Inteligência Artificial,Exatas
ESPM,Metropolitana de São Paulo,São Paulo,Ciência de Dados e Negócios,Exatas
ESPM,Metropolitana de São Paulo,São Paulo,Ciência do Consumo,Exatas
Unifesp,Metropolitana de São Paulo,Diadema,Ciências,Biológicas
Unifesp,Metropolitana de São Paulo,Diadema,Ciências,Biológicas
Unifesp,Metropolitana de São Paulo,Diadema,Ciências Ambientais,Biológicas
USP,Metropolitana de São Paulo,São Paulo,Ciências Atuariais,Exatas
PUC-SP,Metropolitana de São Paulo,São Paulo,Ciências Atuariais,Humanas
Unifesp,Metropolitana de São Paulo,Osasco,Ciências Atuariais,Exatas
Unifesp,Metropolitana de São Paulo,Osasco,Ciências Atuariais,Exatas
USP,Ribeirão Preto,Ribeirão Preto,Ciências Biológicas,Biológicas
Unesp,Assis,Assis,Ciências Biológicas,Biológicas
