Mesorregião,Município,Administração_Pública,Agricultura,Comércio,Industria,Serviços,Total
SÃO JOSÉ DO RIO PRETO,PINDORAMA,572,161,528,957,308,2526
SÃO JOSÉ DO RIO PRETO,SANTA ADÉLIA,595,2218,746,56,573,4188
SÃO JOSÉ DO RIO PRETO,SEVERÍNIA,588,422,445,647,309,2411
SÃO JOSÉ DO RIO PRETO,TABAPUÃ,470,392,462,198,585,2107
SÃO JOSÉ DO RIO PRETO,AURIFLAMA,359,155,763,866,481,2624
SÃO JOSÉ DO RIO PRETO,FLOREAL,190,35,70,110,29,434
SÃO JOSÉ DO RIO PRETO,GASTÃO VIDIGAL,153,48,69,19,23,312
SÃO JOSÉ DO RIO PRETO,GENERAL SALGADO,371,305,339,86,317,1418
SÃO JOSÉ DO RIO PRETO,GUZOLÂNDIA,215,151,52,131,25,574
SÃO JOSÉ DO RIO PRETO,MAGDA,191,193,66,117,71,638
SÃO JOSÉ DO RIO PRETO,NOVA CASTILHO,4,43,14,6,4,71
SÃO JOSÉ DO RIO PRETO,NOVA LUZITÂNIA,161,12,34,2,40,249
SÃO JOSÉ DO RIO PRETO,SÃO JOÃO DE IRACEMA,166,48,20,0,5,239
SÃO JOSÉ DO RIO PRETO,MACAUBAL,266,80,209,190,908,1653
SÃO JOSÉ DO RIO PRETO,MONÇÕES,220,102,40,82,194,638
SÃO JOSÉ DO RIO PRETO,MONTE APRAZÍVEL,644,271,911,1317,1018,4161
SÃO JOSÉ DO RIO PRETO,NEVES PAULISTA,278,140,292,732,189,1631
SÃO JOSÉ DO RIO PRETO,NHANDEARA,344,175,418,236,516,1689
SÃO JOSÉ DO RIO PRETO,NIPOÃ,178,42,85,96,94,495
SÃO JOSÉ DO RIO PRETO,POLONI,219,160,100,274,543,1296
SÃO JOSÉ DO RIO PRETO,SEBASTIANÓPOLIS DO SUL,274,42,70,1701,75,2162
SÃO JOSÉ DO RIO PRETO,UNIÃO PAULISTA,147,27,13,84,23,294
SÃO JOSÉ DO RIO PRETO,IRAPUÃ,286,216,232,178,136,1048
SÃO JOSÉ DO RIO PRETO,ITAJOBI,588,415,980,1606,413,4002
SÃO JOSÉ DO RIO PRETO,MARAPOAMA,225,195,267,1027,47,1761
SÃO JOSÉ DO RIO PRETO,NOVO HORIZONTE,999,2770,2062,1836,1882,9549
SÃO JOSÉ DO RIO PRETO,SALES,292,75,160,178,186,891
SÃO JOSÉ DO RIO PRETO,URUPÊS,408,395,672,822,657,2954
RIBEIRÃO PRETO,BARRETOS,3352,2057,7226,7930,13312,33877
RIBEIRÃO PRETO,COLINA,970,497,610,2717,1286,6080
RIBEIRÃO PRETO,COLÔMBIA,545,2375,132,750,89,3891
RIBEIRÃO PRETO,GUAÍRA,1303,661,2034,7587,2471,14056
RIBEIRÃO PRETO,IPUÃ,718,530,573,514,367,2702
RIBEIRÃO PRETO,JABORANDI,389,208,126,30,82,835
RIBEIRÃO PRETO,MIGUELÓPOLIS,792,300,702,281,701,2776
RIBEIRÃO PRETO,MORRO AGUDO,995,956,1012,3228,1247,7438
RIBEIRÃO PRETO,NUPORANGA,354,403,228,2012,454,3451
RIBEIRÃO PRETO,ORLÂNDIA,1152,996,2500,5233,3119,13000
RIBEIRÃO PRETO,SALES OLIVEIRA,370,567,381,939,470,2727
RIBEIRÃO PRETO,SÃO JOAQUIM DA BARRA,1074,249,2473,6614,2471,12881
RIBEIRÃO PRETO,ARAMINA,298,116,171,4,129,718
RIBEIRÃO PRETO,BURITIZAL,248,129,49,1068,39,1533
RIBEIRÃO PRETO,GUARÁ,867,140,934,837,581,3359
RIBEIRÃO PRETO,IGARAPAVA,738,424,1388,1848,1150,5548
RIBEIRÃO PRETO,ITUVERAVA,1165,387,2216,1227,2474,7469
RIBEIRÃO PRETO,CRISTAIS PAULISTA,278,759,209,329,128,1703
RIBEIRÃO PRETO,FRANCA,4682,1057,26369,27340,28478,87926
RIBEIRÃO PRETO,ITIRAPUÃ,218,300,84,37,37,676
RIBEIRÃO PRETO,JERIQUARA,249,263,41,83,34,670
RIBEIRÃO PRETO,PATROCÍNIO PAULISTA,433,649,345,2558,612,4597
RIBEIRÃO PRETO,PEDREGULHO,537,1258,475,574,485,3329
RIBEIRÃO PRETO,RESTINGA,310,460,80,532,140,1522
RIBEIRÃO PRETO,RIBEIRÃO CORRENTE,247,305,69,97,26,744
RIBEIRÃO PRETO,RIFAINA,241,169,62,453,209,1134
RIBEIRÃO PRETO,SÃO JOSÉ DA BELA VISTA,397,195,150,3,64,809
RIBEIRÃO PRETO,BEBEDOURO,2407,7256,7403,3523,7339,27928
RIBEIRÃO PRETO,CÂNDIDO RODRIGUES,225,138,106,166,25,660
RIBEIRÃO PRETO,FERNANDO PRESTES,316,257,283,397,271,1524
RIBEIRÃO PRETO,GUARIBA,1243,260,1605,3111,1247,7466
RIBEIRÃO PRETO,JABOTICABAL,1864,727,4518,7626,7802,22537
RIBEIRÃO PRETO,MONTE ALTO,1465,505,3275,5843,2551,13639
RIBEIRÃO PRETO,MONTE AZUL PAULISTA,770,1987,1369,744,719,5589
RIBEIRÃO PRETO,PIRANGI,312,354,484,702,495,2347
RIBEIRÃO PRETO,PITANGUEIRAS,966,784,1218,4006,1089,8063
RIBEIRÃO PRETO,SANTA ERNESTINA,288,23,102,11,63,487
RIBEIRÃO PRETO,TAIAÇU,235,127,171,6,77,616
RIBEIRÃO PRETO,TAIÚVA,257,114,184,74,89,718
RIBEIRÃO PRETO,TAQUARAL,229,203,48,25,33,538
RIBEIRÃO PRETO,TAQUARITINGA,1730,1110,2938,2615,2688,11081
RIBEIRÃO PRETO,TERRA ROXA,416,175,237,191,164,1183
RIBEIRÃO PRETO,VIRADOURO,711,211,675,953,637,3187
RIBEIRÃO PRETO,VISTA ALEGRE DO ALTO,218,457,473,2063,210,3421
RIBEIRÃO PRETO,BARRINHA,1035,74,1286,1594,651,4640
RIBEIRÃO PRETO,BRODOWSKI,1120,246,1820,1614,999,5799
RIBEIRÃO PRETO,CRAVINHOS,990,830,1829,5026,1958,10633
RIBEIRÃO PRETO,DUMONT,299,536,294,861,165,2155
RIBEIRÃO PRETO,GUATAPARÁ,397,157,169,229,478,1430
RIBEIRÃO PRETO,JARDINÓPOLIS,1423,960,2291,2908,1796,9378
RIBEIRÃO PRETO,LUÍS ANTÔNIO,638,3216,328,1288,859,6329
RIBEIRÃO PRETO,PONTAL,978,589,1119,5439,1708,9833
RIBEIRÃO PRETO,PRADÓPOLIS,683,12,622,5309,1166,7792
RIBEIRÃO PRETO,RIBEIRÃO PRETO,9925,975,63229,35274,123877,233280
RIBEIRÃO PRETO,SANTA RITA DO PASSA QUATRO,762,453,1259,1675,4168,8317
RIBEIRÃO PRETO,SANTA ROSA DE VITERBO,751,126,1083,1382,1011,4353
RIBEIRÃO PRETO,SÃO SIMÃO,506,481,494,1098,751,3330
RIBEIRÃO PRETO,SERRA AZUL,331,69,186,88,135,809
RIBEIRÃO PRETO,SERRANA,1300,216,1354,2751,1647,7268
RIBEIRÃO PRETO,SERTÃOZINHO,2500,483,8001,22984,10568,44536
RIBEIRÃO PRETO,ALTINÓPOLIS,755,1375,691,154,721,3696
RIBEIRÃO PRETO,BATATAIS,1394,730,3657,6557,3900,16238
RIBEIRÃO PRETO,CAJURU,855,544,928,1565,1464,5356
RIBEIRÃO PRETO,CÁSSIA DOS COQUEIROS,225,180,45,1,15,466
RIBEIRÃO PRETO,SANTA CRUZ DA ESPERANÇA,228,113,28,49,23,441
RIBEIRÃO PRETO,SANTO ANTÔNIO DA ALEGRIA,401,302,252,73,110,1138
ARAÇATUBA,ANDRADINA,1626,661,3515,5544,5254,16600
ARAÇATUBA,CASTILHO,842,251,487,1406,343,3329
ARAÇATUBA,GUARAÇAÍ,338,210,245,212,207,1212
ARAÇATUBA,ILHA SOLTEIRA,1073,126,1159,530,1830,4718
ARAÇATUBA,ITAPURA,282,84,44,51,224,685
ARAÇATUBA,MIRANDÓPOLIS,703,297,1065,902,826,3793
ARAÇATUBA,MURUTINGA DO SUL,248,72,77,13,28,438
ARAÇATUBA,NOVA INDEPENDÊNCIA,289,95,66,1181,54,1685
ARAÇATUBA,PEREIRA BARRETO,934,351,1214,2148,965,5612
ARAÇATUBA,SUD MENNUCCI,387,489,143,74,137,1230
ARAÇATUBA,SUZANÁPOLIS,282,76,73,1248,45,1724
ARAÇATUBA,ARAÇATUBA,3765,816,14684,10338,23201,52804
ARAÇATUBA,BENTO DE ABREU,219,49,11,587,156,1022
ARAÇATUBA,GUARARAPES,980,936,1263,2258,1190,6627
ARAÇATUBA,LAVÍNIA,323,168,109,0,62,662
ARAÇATUBA,RUBIÁCEA,176,115,36,8,172,507
ARAÇATUBA,SANTO ANTÔNIO DO ARACANGUÁ,579,486,84,223,92,1464
ARAÇATUBA,VALPARAÍSO,821,241,613,3369,898,5942
ARAÇATUBA,ALTO ALEGRE,206,72,91,32,65,466
ARAÇATUBA,AVANHANDAVA,337,55,270,1089,161,1912
ARAÇATUBA,BARBOSA,293,63,67,202,188,813
ARAÇATUBA,BILAC,255,62,424,495,317,1553
ARAÇATUBA,BIRIGUI,3032,507,7009,12740,6577,29865
ARAÇATUBA,BRAÚNA,185,63,110,80,48,486
ARAÇATUBA,BREJO ALEGRE,208,161,43,5,8,425
ARAÇATUBA,BURITAMA,628,123,694,830,613,2888
ARAÇATUBA,CLEMENTINA,323,43,142,515,177,1200
ARAÇATUBA,COROADOS,241,137,160,432,66,1036
ARAÇATUBA,GABRIEL MONTEIRO,220,119,114,444,51,948
ARAÇATUBA,GLICÉRIO,263,194,52,206,75,790
ARAÇATUBA,LOURDES,178,34,18,1,31,262
ARAÇATUBA,LUIZIÂNIA,234,150,96,15,83,578
ARAÇATUBA,PENÁPOLIS,1746,721,3739,4732,4592,15530
ARAÇATUBA,PIACATU,250,141,167,306,59,923
ARAÇATUBA,SANTÓPOLIS DO AGUAPEÍ,221,53,147,44,68,533
ARAÇATUBA,TURIÚBA,157,79,12,30,5,283
BAURU,CAFELÂNDIA,659,453,575,1908,495,4090
BAURU,GETULINA,318,686,140,31,153,1328
BAURU,GUAIÇARA,416,319,228,633,112,1708
BAURU,GUAIMBÊ,270,257,56,24,34,641
BAURU,JÚLIO MESQUITA,297,108,38,7,34,484
BAURU,LINS,1521,524,4319,10374,8897,25635
BAURU,PROMISSÃO,1192,1108,1534,3508,1408,8750
BAURU,SABINO,269,54,164,21,43,551
